date,total_profit_DA,total_profit_Hybrid,market_used,cumulative_baseline,cumulative_strategy,total_profit
2025-02-07,-46.00000000000006,-46.00000000000006,Day Ahead,21210.2,21210.2,-46.00000000000006
2025-02-08,477.3500000000001,477.3500000000001,Day Ahead,21687.55,21687.55,477.3500000000001
2025-02-09,204.20000000000002,204.20000000000002,Day Ahead,21891.75,21891.75,204.20000000000002
2025-02-10,683.4,683.4,Day Ahead,22575.15,22575.15,683.4
2025-02-11,374.45000000000005,374.45000000000005,Day Ahead,22949.600000000002,22949.600000000002,374.45000000000005
2025-02-12,447.9999999999998,447.9999999999998,Day Ahead,23397.600000000002,23397.600000000002,447.9999999999998
2025-02-13,438.19999999999993,438.19999999999993,Day Ahead,23835.800000000003,23835.800000000003,438.19999999999993
2025-02-14,738.55,738.55,Day Ahead,24574.350000000002,24574.350000000002,738.55
2025-02-15,253.20000000000007,253.20000000000007,Day Ahead,24827.550000000003,24827.550000000003,253.20000000000007
2025-02-16,102.14999999999996,102.14999999999996,Day Ahead,24929.700000000004,24929.700000000004,102.14999999999996
2025-02-17,662.6499999999999,662.6499999999999,Day Ahead,25592.350000000006,25592.350000000006,662.6499999999999
2025-02-18,617.3500000000001,617.3500000000001,Day Ahead,26209.700000000004,26209.700000000004,617.3500000000001
2025-02-19,496.29999999999984,496.29999999999984,Day Ahead,26706.000000000004,26706.000000000004,496.29999999999984
2025-02-20,634.3,634.3,Day Ahead,27340.300000000003,27340.300000000003,634.3
2025-02-21,652.7500000000001,652.7500000000001,Day Ahead,27993.050000000003,27993.050000000003,652.7500000000001
2025-02-22,1017.9000000000001,1017.9000000000001,Day Ahead,29010.950000000004,29010.950000000004,1017.9000000000001
2025-02-23,359.75,359.75,Day Ahead,29370.700000000004,29370.700000000004,359.75
2025-02-24,947.6500000000001,947.6500000000001,Day Ahead,30318.350000000006,30318.350000000006,947.6500000000001
2025-02-25,1292.1000000000001,1292.1000000000001,Day Ahead,31610.450000000004,31610.450000000004,1292.1000000000001
2025-02-26,499.34999999999997,499.34999999999997,Day Ahead,32109.800000000003,32109.800000000003,499.34999999999997
2025-02-27,367.5,367.5,Day Ahead,32477.300000000003,32477.300000000003,367.5
2025-02-28,691.6500000000001,691.6500000000001,Day Ahead,33168.950000000004,33168.950000000004,691.6500000000001
2025-03-01,0.0,0.0,Day Ahead,33168.950000000004,33168.950000000004,0.0
2025-03-02,-4.1499999999999915,-4.1499999999999915,Day Ahead,33164.8,33164.8,-4.1499999999999915
2025-03-03,16.05000000000004,16.05000000000004,Day Ahead,33180.850000000006,33180.850000000006,16.05000000000004
2025-03-04,13.250000000000028,13.250000000000028,Day Ahead,33194.100000000006,33194.100000000006,13.250000000000028
2025-03-05,0.0,0.0,Day Ahead,33194.100000000006,33194.100000000006,0.0
2025-03-06,-13.050000000000068,-13.050000000000068,Day Ahead,33181.05,33181.05,-13.050000000000068
2025-03-07,728.7,728.7,Day Ahead,33909.75,33909.75,728.7
2025-03-08,405.75,405.75,Day Ahead,34315.5,34315.5,405.75
2025-03-09,275.09999999999997,275.09999999999997,Day Ahead,34590.6,34590.6,275.09999999999997
